line_id,description,start_time,end_time,logs_count,duration_minutes
Other,"Linie 2: Betrieb nur zwischen Dornbach und Höchstädtplatz. Weiterfahrt bis Wexstraße, Bhf. Brigittenau. Linie 31: Kein Betrieb zwischen Floridsdorf S U und Wexstraße. Weichen Sie ersatzweise auf die Linien U6, S-Bahn, 11A aus. Voraussichtliche Dauer: 20:00 Uhr. Grund: Rettungseinsatz im Haltestellenbereich Höchstädtplatz.",2026-03-19 18:15:10,2026-03-19 19:30:18,6,75.13333333333334
Other,Linie 2: Fahrtbehinderung in Richtung Friedrich-Engels-Platz. Voraussichtliche Dauer: 11:40 Uhr. Grund: Polizeieinsatz im Haltestellenbereich Schwedenplatz U.,2026-03-21 10:30:16,2026-03-21 10:30:16,1,0.0
Other,Linie 2: Nach einer Fahrtbehinderung kommt es zu unterschiedlichen Intervallen.,2026-03-19 15:30:19,2026-03-21 11:15:10,17,2624.85
Other,Linie 2: Unregelmäßige Intervalle in beiden Richtungen. Grund: Demonstration.,2026-03-21 15:00:25,2026-03-21 16:30:16,7,89.85
Other,Linie 2: Unregelmäßige Intervalle in beiden Richtungen. Grund: Verunreinigung.,2026-03-22 07:29:55,2026-03-22 08:30:17,6,60.36666666666667
Other,Linie 30: Betrieb nur zwischen Stammersdorf und Floridsdorfer Markt. Linie 31: Kein Betrieb zwischen Floridsdorfer Markt und Friedrich-Engels-Platz. Voraussichtliche Dauer: 19:00 Uhr. Grund: Schadhaftes Fahrzeug im Haltestellenbereich Floridsdorf S U.,2026-03-20 17:30:23,2026-03-20 17:30:23,1,0.0
Other,Linie 30: Fahrtbehinderung in Richtung Floridsdorf S U. Linie 31: Fahrtbehinderung in Richtung Schottenring U. Voraussichtliche Dauer: 20:15 Uhr. Grund: Rettungseinsatz im Bereich Brünner Straße.,2026-03-20 19:00:26,2026-03-20 19:00:26,1,0.0
Other,Linie 30: Fahrtbehinderung in Richtung Stammersdorf. Linie 31: Fahrtbehinderung in Richtung Stammersdorf. Voraussichtliche Dauer: 14:50 Uhr. Grund: Rettungseinsatz im Haltestellenbereich Floridsdorfer Markt.,2026-03-19 13:30:18,2026-03-19 13:30:18,1,0.0
Other,Linie 30: Nach einer Fahrtbehinderung kommt es zu unterschiedlichen Intervallen.,2026-03-19 13:45:11,2026-03-20 19:45:09,4,1799.9666666666667
Other,Linie 30: Unregelmäßige Intervalle in beiden Richtungen. Grund: Schadhaftes Fahrzeug.,2026-03-22 16:45:10,2026-03-22 17:39:14,5,54.06666666666667
